0,100000,100000
1,96721,97449
2,96489,97231
3,96341,97107
4,96237,97018
5,96162,96956
6,96097,96904
7,96040,96861
8,95985,96822
9,95936,96788
10,95888,96757
11,95847,96728
12,95808,96701
13,95762,96674
14,95707,96642
15,95632,96605
16,95535,96563
17,95411,96510
18,95267,96452
19,95097,96388
20,94905,96320
21,94707,96252
22,94501,96183
23,94286,96112
24,94074,96042
25,93878,95975
26,93688,95908
27,93516,95843
28,93341,95777
29,93173,95709
30,92998,95641
31,92822,95569
32,92650,95497
33,92477,95422
34,92304,95346
35,92122,95261
36,91925,95171
37,91706,95075
38,91466,94965
39,91208,94847
40,90936,94723
41,90655,94593
42,90362,94453
43,90039,94297
44,89687,94125
45,89316,93936
46,88926,93732
47,88539,93518
48,88139,93287
49,87720,93042
50,87273,92772
51,86797,92480
52,86278,92156
53,85757,91821
54,85205,91458
55,84616,91064
56,83987,90636
57,83316,90170
58,82598,89663
59,81830,89111
60,81009,88513
61,80130,87863
62,79186,87156
63,78170,86389
64,77077,85557
65,75900,84655
66,74633,83676
67,73271,82615
68,71814,81471
69,70262,80245
70,68617,78935
71,66869,77531
72,65013,76026
73,63056,74422
74,61013,72726
75,58885,70935
76,56663,69035
77,54334,67012
78,51899,64867
79,49366,62604
80,46735,60222
81,44012,57712
82,41192,55058
83,38268,52244
84,35232,49257
85,32101,46093
86,28908,42765
87,25707,39299
88,22554,35736
89,19508,32125
90,16620,28518
91,13933,24973
92,11481,21545
93,9286,18288
94,7360,15250
95,5707,12472
96,4330,10001
97,3214,7862
98,2336,6061
99,1665,4586
100,1166,3410
101,801,2488
102,539,1780
103,355,1245
104,228,851
105,143,567
106,88,368
107,52,232
108,30,141
109,17,83
110,9,47
111,5,25
112,2,13
113,1,6
114,0,3
115,0,1
116,0,1
117,0,0
118,0,0
119,0,0
